[00:02:00] こんにちは
[00:16:10] 耐震性って結局揺らしてるだけなんで
[00:16:13] つまりその柳のように柔らかいのは
[00:16:17] 結局一番いいっていう
[00:16:20] だから筋肉を
[00:16:23] すごいこう
[00:16:25] 作っても
[00:16:27] 意味はないことが意味はあるんですが
[00:16:29] そこにやっぱり
[00:16:32] もう一つ
[00:16:32] 柔軟性っていうのが必要だっていう
[00:16:35] そこをちょっと書きたかったので
[00:16:38] ストレッチはもう
[00:16:40] 毎日の習慣にしましょうという
[00:16:42] 4番目は体重管理だったんですけど
[00:16:45] 目安としてはそれがいいんですけど
[00:16:48] 僕は食事管理をやっぱり言いたくて
[00:16:51] 非常に美食だったり
[00:16:57] すごくねグルメだったり
[00:17:00] それはそれでいいんだけど
[00:17:02] やっぱり日本は1日2食が長くて
[00:17:08] 江戸時代では朝と夕方しか食べないわけで
[00:17:12] 結局
[00:17:14] 火を灯すのが高いので
[00:17:18] 結局暗くなったら寝るっていう
[00:17:20] イメージが長いわけですよ
[00:17:23] だから江戸時代は
[00:17:26] 素晴らしい文化だった
[00:17:28] 文明だったって言ってるんですね
[00:17:30] 江戸を研究してる
[00:17:32] 女性の学者が
[00:17:34] その人のことを
[00:17:36] まだ周りの学者が評価してるんですけど
[00:17:39] やっぱ江戸時代の
[00:17:41] 江戸は
[00:17:42] 素晴らしい環境だったっていう
[00:17:46] 下水道
[00:17:47] 要するに上水道下水道ですよね
[00:17:50] その完備とか
[00:17:52] あとは防火対策とか
[00:17:54] それから
[00:17:55] 総合
[00:17:57] 不助っていうんですか
[00:17:59] 要するに5人組とかね
[00:18:01] だから隣近所を
[00:18:04] 見るとか
[00:18:05] それから楽屋とか
[00:18:08] なんとかで要は
[00:18:09] モンモリスが世界でも
[00:18:11] ところが高いわけですよ
[00:18:13] 敷地率が高いので
[00:18:16] びっくりしたっていう宣教師が来て
[00:18:19] だからその辺で農民が
[00:18:24] びっくりしたと漢字読めるし
[00:18:27] 文字が読めるっていう
[00:18:28] その頃世界は文字さえ読めなかったっていう
[00:18:32] その時の食事の仕方が
[00:18:35] やっぱりそんな
[00:18:37] 法職の時代ではないので
[00:18:40] それで日々暮らして
[00:18:44] しかも働くと
[00:18:46] 死ぬまで働くと
[00:18:48] いうことをやっていて
[00:18:50] それが実は健康的だった
[00:18:51] 要は
[00:18:54] 素食といっても
[00:18:57] そんな贅沢をしない
[00:19:00] 食事を習慣化し
[00:19:02] 睡眠時間を長くとり
[00:19:04] まさに健康的な
[00:19:06] 生活をしていた
[00:19:08] ただ家屋が非常に質素だったので
[00:19:12] それから病気の手当もできなかったので
[00:19:16] 亡くなる方は多かったんですが
[00:19:18] でも基本的に食事とか睡眠っていうのは
[00:19:22] やっぱりすごく重要なんじゃないかっていうのが
[00:19:25] 僕の中にすごく強くて
[00:19:28] はっきり言えば金持ってるわけですよ年寄りは
[00:19:33] だから贅沢なものを食べてもいいわけですよ
[00:19:36] でもそれは自分の体を
[00:19:39] 要するに寂さしてるよっていうのが
[00:19:42] 私の主張なんですね
[00:19:43] なるほど
[00:19:45] そうなんです
[00:19:46] ちょうど昨日
[00:19:50] 江戸京博物館っていうのがありまして
[00:19:54] それにちょっと遊びに行ってきたんですけど
[00:19:58] やっぱ江戸時代の生活とか
[00:20:02] 少しその生活とか
[00:20:04] やっぱり長屋とか
[00:20:06] ああいうのがいいなみたいなことを奥さんと話したりしてたので
[00:20:10] まさに今足りないようなものが当時は豊かだったんだろうな
[00:20:16] というふうにちょっと思ってましたね
[00:20:18] 隣の人を気にするっていうね
[00:20:21] 壁が薄いんで
[00:20:24] 当然それは気になるわけですけど
[00:20:28] 僕はもう一つ今の日本人に足らない許容力っていうのを
[00:20:34] 持ってたと思うんですよ
[00:20:35] ちょっと音がすると
[00:20:38] 隣ってうるせーっていう
[00:20:40] いやいや江戸時代は
[00:20:42] 普通に喋ってても
[00:20:44] 聞こえちゃう
[00:20:45] 赤ちゃんはギャーギャー鳴くし
[00:20:48] そういったのを
[00:20:51] 許容してる力が
[00:20:53] 強かったんじゃないかなっていう
[00:20:55] なるほど
[00:20:57] 今の現代人の
[00:20:59] 日本ですよね
[00:21:01] トランプもそうかもしれませんけど
[00:21:04] 許容力がなさすぎるっていうか
[00:21:07] 異文化に対する尊敬の念といいんでしょうかね
[00:21:13] 異質なものに対する許容力といいんでしょうかね
[00:21:16] ただ異文化を研究していくと
[00:21:20] やっぱり許容力
[00:21:20] 包容力っていうのが
[00:21:23] やっぱり求められるんじゃないかって
[00:21:25] 僕のそれは自分の考え方なんですけど
[00:21:27] やっぱりそれなくして
[00:21:30] 要は平和の維持とか共存とかっていう言葉は
[00:21:37] これは辞書からなくなるわけで
[00:21:41] やっぱりそこでなぜ戦争してしまうのかっていうと
[00:21:45] ベースはやっぱり宗教だと思うんですけど
[00:21:47] それったら結局異質なそういう宗教なり文化を
[00:21:54] 認めない
[00:21:55] この前提に立つと
[00:21:59] イスラエルのように
[00:22:01] イランはなくさなくちゃいけないんだと
[00:22:03] 一応アメリカが
[00:22:06] やめとけどうのこうのって言うから
[00:22:07] そこまでは言わないにしても
[00:22:10] 根本はイスラエルは
[00:22:11] イランをこの世からなくしたいわけですよね
[00:22:15] そうですね
[00:22:15] それが何なのかって言うと
[00:22:18] 結局ずっと原点戻ってくる
[00:22:20] やっぱり宗教文化
[00:22:22] になってくると思うんですね
[00:22:27] だからやっぱり
[00:22:28] 昔から戦いは多くはもうほとんど宗教と民族の戦いだったので
[00:22:33] やっぱり基本的にそこはベース変わってないなっていう
[00:22:38] そういう気がしますね
[00:22:42] そこは何かっていうと要は価値観の違いっていう
[00:22:46] ただ僕は価値観を論ずるべきではないっていう風に思っていて
[00:22:52] なぜならば高橋さんが仮に巨人がいいと
[00:22:57] 僕が安心がいいと
[00:22:58] ここで価値観の
[00:23:01] 議論をしましょう
[00:23:03] 最後お喧嘩になりますよ
[00:23:05] 確かにそう
[00:23:06] どっちがいいとかどっちが悪いとか
[00:23:09] どっちが上とか下とか
[00:23:11] 関係ないわけですよ
[00:23:14] そもそもそれ価値観ですからね
[00:23:15] これをずっと
[00:23:18] 戦っても意味がなくて
[00:23:20] はい
[00:23:20] それはその
[00:23:22] 木管か金管かって
[00:23:26] 戦うのと同じで
[00:23:27] どっちの楽器であろうが
[00:23:29] 相和してオーケストラになるわけで
[00:23:31] だから一緒のものが
[00:23:34] 相和しているので
[00:23:36] 世界っていうのが
[00:23:38] 存在していて
[00:23:39] そこの中で要は共有力っていうか
[00:23:42] 包容力っていうかそういったものが
[00:23:43] 要はあることによって
[00:23:45] 平和が保たれるっていう
[00:23:47] そういう気持ちがあるので
[00:23:51] やっぱり
[00:23:53] 年取って
[00:23:55] ああいう老人ホームに入って
[00:23:58] 特に女性の方はいいんですけど
[00:24:00] 年代が一回り違っても
[00:24:02] お互いため口で会話できるんですが
[00:24:05] 男の場合は
[00:24:07] お前いくつだって一切違うと思う
[00:24:10] 急に偉そうにしたりとか
[00:24:12] 老人ホームもあるんですね
[00:24:15] 先輩以降は
[00:24:16] 昔どこにいたんだって聞いて
[00:24:20] 若いやつが超一流の企業にいた瞬間に
[00:24:24] 急にそれが逆転するっていう
[00:24:27] なるほど
[00:24:28] いやいやもうあなたたち関係ないんだから
[00:24:31] 人類は我も
[00:24:34] だけどやっぱり男
[00:24:36] 男性の場合やっぱりそういうのがあるんですよね
[00:24:38] だからこれが多分
[00:24:42] 設計時代なのかよく分かりませんが
[00:24:44] やっぱり
[00:24:45] 命を繋いでいくためには外で
[00:24:48] 戦うというか
[00:24:50] 身を削るというか
[00:24:51] 男は
[00:24:52] 女性は
[00:24:54] 好きだ嫌いだ言ってられずに
[00:24:57] 仲良くしとかないと
[00:24:58] 何かが押された瞬間に
[00:25:00] 自分の子供を助けてもらえないっていう
[00:25:02] やっぱそういうDNAが
[00:25:05] すり込まれてるんじゃないかと思うんですよね
[00:25:08] そうですね
[00:25:09] だから男はそういう風だからね
[00:25:12] ってまた言うと男は勝ちへんとくるわけで
[00:25:15] それは
[00:25:17] あなたが今度来世男に生まれたら
[00:25:20] わかりますっていう話ですから
[00:25:22] だから男女のところで
[00:25:24] 要は男がどうのこうの
[00:25:27] 女がどうのこうのっていうのは
[00:25:29] 価値観の
[00:25:31] 話になってくると
[00:25:35] 最後喧嘩になるんですよね
[00:25:36] 確かにそうですね
[00:25:38] 喧嘩になること
[00:25:41] 分かってて
[00:25:42] なぜそれをやっていくのっていう
[00:25:45] そこを
[00:25:47] やっぱり論じるのは
[00:25:48] やっぱり
[00:25:49] やばいな
[00:25:52] なるほど
[00:25:54] 価値観の相違は
[00:25:56] 認める
[00:25:58] そういうもんなの
[00:26:00] だって巨人だって
[00:26:03] それは巨人やめとけ半身だお前って
[00:26:06] 言ったってしょうがないんだから
[00:26:08] まさに面白いですね
[00:26:10] 巨人好きなのか半身好きなのか
[00:26:13] いいよ認めればね
[00:26:15] お互い頑張ろうよと
[00:26:18] そうですよね
[00:26:18] そういう感じでやっていけばいいし、さらにそれでね、そういうオタクになっちゃうんですけど、そういう場合は、オタクの巨人のあれいいねって逆に褒めれば、いやいや、あのピッチャーもいいよってこうなるわけで、そこが問題なんですよね。
[00:26:35] うん。
[00:26:37] だから違いのところを自分は、良しとはしてなくても、そこを逆に褒める。
[00:26:45] うん。
[00:26:46] もしくは認めるっていう。
[00:26:48] それがあることによってお互いが
[00:26:51] 歩み寄ってくるっていう
[00:26:52] そうですよね
[00:26:54] そもそも相手がいないと
[00:26:56] 野球なんていうとゲーム成立しないわけですからね
[00:27:00] あくまで
[00:27:00] そうなんですよね
[00:27:02] なるほど
[00:27:02] 価値観はそうですね
[00:27:04] 違いを認める
[00:27:08] それか
[00:27:10] 確かにこれ大事ですね
[00:27:12] ちょっとそういう視点があったものですから
[00:27:18] はいはい
[00:27:18] 直しちゃいました
[00:27:21] はいありがとうございます
[00:27:42] この辺はどちらかというと
[00:27:48] ことっていう言葉
[00:27:51] ものっていう言葉を
[00:27:54] 使わないっていう
[00:27:56] そういう視点での
[00:28:00] 赤字が
[00:28:02] 割と多いです
[00:28:03] ちょっと全体的にそこを見直しします
[00:28:07] まだこれ
[00:28:11] 最初の出力だと思うので
[00:28:15] 当然
[00:28:17] 後書きだけは
[00:28:21] 第1から第6までは
[00:28:23] はい
[00:28:23] わかりました
[00:28:29] こちらで
[00:28:31] 言っていただいたので
[00:28:33] 一回進めていきます
[00:28:35] あと
[00:28:35] 全体的な表紙とかも
[00:28:38] 考えていきたいなと思っていて
[00:28:40] これ前回の分なんですけど
[00:28:44] 今回から
[00:28:45] せっかくだったら
[00:28:47] シリーズものなので
[00:28:50] そこまで見据えた上で
[00:28:53] 作っておいたほうがいいなと
[00:28:55] ちょっと思ってですね
[00:28:56] そういうシリーズのほうが
[00:28:59] ちょっといいんじゃないかなと思って
[00:29:01] 考えてるんですけど
[00:29:04] せっかくだったら
[00:29:05] 揃えて全部並んだときのほうが
[00:29:08] かっこいいほうがいいなと
[00:29:09] ちょっと思ってですね
[00:29:10] 年代ごとに深みがある色というか
[00:29:15] 簡易が高まるような色の方がいいのかなとか
[00:29:19] ちょっと考えて
[00:29:20] 確かに確かに
[00:29:22] 思いました
[00:29:23] 前回も
[00:29:29] もう一つ
[00:29:30] 90歳とかに向けて
[00:29:33] 深くなるような
[00:29:34] こんな感じで
[00:29:36] 考えていこうかなと思っています
[00:29:40] 今のところ
[00:29:43] 第1巻が
[00:29:46] 50代
[00:29:48] 第2巻が
[00:29:50] 60歳から
[00:29:51] っていう風にしていて
[00:29:53] 第3回が
[00:29:56] 70歳代
[00:29:59] のところに触れていきたいなと
[00:30:03] その
[00:30:04] 先のこと80、90のところも
[00:30:08] 結局は
[00:30:09] その延長線で
[00:30:10] っていうような形にして
[00:30:12] そこで一旦収束した形にして
[00:30:15] 4冊目はどちらかというと
[00:30:17] スタートアップ
[00:30:18] はいはいはい
[00:30:19] ここにちょっと触れていきたいな
[00:30:23] っていう
[00:30:24] で
[00:30:26] 第5弾は
[00:30:29] 女性経営者
[00:30:30] っていう感じちょっとしたいな
[00:30:35] と思ったんですけど
[00:30:36] 今のお話だと
[00:30:40] 今2巻じゃないですか
[00:30:42] 3巻を
[00:30:43] 70代
[00:30:47] をメインに書いておいて
[00:30:50] 要は80、90、100を
[00:30:53] 匂わせるという
[00:30:54] なるほど
[00:30:55] 第4
[00:31:00] じゃあもう
[00:31:01] 年代的にはもう
[00:31:03] 3巻で
[00:31:04] 90、100まで
[00:31:06] 閉じて
[00:31:08] 第4巻が
[00:31:11] スタートアップ
[00:31:12] いきなり若い
[00:31:16] 20代の
[00:31:17] そこに行って
[00:31:20] 次は女性経営者
[00:31:23] 5巻が女性経営者
[00:31:26] なるほど
[00:31:27] のところに
[00:31:29] 行ければなという風に
[00:31:32] 今のところは思ってます
[00:31:33] なるほど
[00:31:34] なるほど 理解しました
[00:31:35] その先に何か反響があったりすれば
[00:31:41] 80歳代 90歳代っていうのは
[00:31:46] それは続いてもいいでしょうけども
[00:31:49] はいはいはい なるほどなるほど
[00:31:52] OKですOKです 理解しました
[00:31:57] じゃあまず一旦ここで今回の人生二期論を
[00:32:03] 論じて70歳以降についても
[00:32:06] 記載して
[00:32:07] っていうところで
[00:32:09] そこは閉じてまたちょっと経路変わって
[00:32:11] スタートアップと
[00:32:13] 女性っていう
[00:32:14] 新しい感じで
[00:32:16] っていうかとですかね
[00:32:18] そういう感じですね
[00:32:22] なので
[00:32:24] 60代のとこはリボーンなので
[00:32:27] なんかこう
[00:32:28] どちらかっていうと
[00:32:30] グリーン系はどうでしょう
[00:32:32] そうかもしれないですね
[00:32:34] ちょっとそういう意味を持たせた方が
[00:32:37] いいのかもしれないですね
[00:32:38] 心力的に
[00:32:40] はいはい
[00:32:40] 言ったらどうかな
[00:32:47] はいちょっとそこも
[00:33:01] そうですね 新緑とかで考えています
[00:33:06] このシリーズもテーマが流れるような感じ
[00:33:12] そうですね
[00:33:14] 分かりました
[00:33:26] そこももう一回構想して用意いたします
[00:33:31] はい
[00:33:32] そんな感じで
[00:33:36] 基本的には
[00:33:37] どちらかと
[00:33:40] 年齢が高くなっていくと
[00:33:43] 要は
[00:33:44] 先が短いという
[00:33:46] 観念になりますよね
[00:33:48] はい
[00:33:49] 若い頃は
[00:33:51] 先見なんて考えないなって
[00:33:54] 自身がそうでしたので
[00:33:56] それは不良が
[00:33:58] 不良の受講が何かあれは別ですけど
[00:34:00] その頃によく言われたのが
[00:34:04] タイムイズマネーだったんですよね
[00:34:06] サラリーマン時代に考えたのが
[00:34:11] タイムイズマネーってどういうことなんだろうって
[00:34:14] 本来の意味とは違って
[00:34:16] 自分としての受け止め方としては
[00:34:19] 要は時間の切り売りでお金を稼いでるっていう
[00:34:23] タイムイズマネー
[00:34:25] ほぼサラリーマンそういうことだと思うので
[00:34:30] だからタイムカードが存在するわけで
[00:34:35] 逆に言うと働きすぎっていうところで
[00:34:40] サブロック協定とかが存在する
[00:34:44] それって結局時間とお金を測ってますよね
[00:34:48] 基本的なベースに流れてるのは
[00:34:51] タイムズマネーっていう
[00:34:52] 年齢が重ねてくると
[00:34:56] それなりに人によって違いますけど
[00:34:58] 若い頃と違って何もない状態ではなく
[00:35:02] やっぱり経験値だけじゃなくて
[00:35:05] それなの資産も持っていると
[00:35:07] そうするとここのタイムイズマネーは
[00:35:11] 逆に金よりも時間が貴重になってくるっていう
[00:35:14] だからよくお金持ちが言う
[00:35:20] お金で時間を買うっていう
[00:35:22] そっちの意識に近づいていくっていう
[00:35:25] そんな気がするんですね
[00:35:28] 一つが
[00:35:30] 例えば延命措置で
[00:35:32] 延命ってことは
[00:35:34] 時間を稼ぐわけで
[00:35:36] 長く生きたいと
[00:35:37] なのでそれで300万かかってもいいから
[00:35:40] やって
[00:35:41] もしくは若返りの
[00:35:44] なんとかとか
[00:35:45] だから
[00:35:48] いわゆる女性がよく
[00:35:51] 肌につけるものとしては
[00:35:54] エイジレスというか
[00:35:55] 逆に年齢を
[00:35:57] 若返りではないんですけどね
[00:35:59] なのでそれって
[00:36:01] 時間を買ってるっていう
[00:36:03] 僕の解釈ではね
[00:36:07] ある時ふと考えたのが
[00:36:09] 俺って若い時は
[00:36:12] 時間を売って
[00:36:14] 金稼いでるんだ
[00:36:15] そうだなって感覚を持ってたんだけど
[00:36:18] 年取って今そうじゃなくなってきてると
[00:36:22] 逆になってると
[00:36:23] はいはいはい
[00:36:24] だからその時間をお金で買うっていう
[00:36:28] 感覚になってるなっていう
[00:36:31] だからもったいないから歩こうとか
[00:36:36] もったいないから電車は普通列車に乗ろうとか
[00:36:40] 今そうじゃなくて新幹線とか
[00:36:44] なんならいわゆるグリーン車とか
[00:36:48] こうなってくるわけですよね
[00:36:51] お金が使えるとね
[00:36:53] なのでそこで過ごす時間
[00:36:56] それを豊かなものにしようっていう
[00:36:59] だから同じ電車なんで時間は変わらないんだけど
[00:37:04] そこの中の豊かな感じにしたいっていうところで
[00:37:08] クリーン車乗るとか
[00:37:11] それからJR九州が多いんですけれども
[00:37:16] いわゆる観光列車
[00:37:17] これがもう60万だ100万だ
[00:37:20] たった7日間とかなんとかで
[00:37:23] 海外行くわけじゃないのに
[00:37:26] なんでそこが
[00:37:27] 何年先までいっぱいなのと
[00:37:30] はいはい
[00:37:30] 要はあれは
[00:37:33] いわゆる時間を
[00:37:36] 非常に
[00:37:37] 高価なものにしてるわけですよね
[00:37:39] うーん
[00:37:40] だから自分たちは当然
[00:37:43] 100万とかっていうのを1週間ぐらいで
[00:37:45] かけてることは分かってるわけで
[00:37:47] うーん
[00:37:48] 当然それの対価として
[00:37:50] 豊かな時間を過ごしたいっていうのがあるわけで
[00:37:54] そうすると提供する側もおそらくJR九州側も
[00:37:59] 豊かな時間の提供というコンセプトになってるんじゃないのかなっていう風に僕は思うんですね
